Date,gross_ret,net_ret,cost,turnover,regime,ann_vol
2015-01-02,0.0,0.0,0.0,0.0,,
2015-01-05,0.0,0.0,0.0,0.0,,
2015-01-06,0.0,0.0,0.0,0.0,,
2015-01-07,0.0,0.0,0.0,0.0,,
2015-01-08,0.0,0.0,0.0,0.0,,
2015-01-09,0.0,0.0,0.0,0.0,,
2015-01-12,0.0,0.0,0.0,0.0,,
2015-01-13,0.0,0.0,0.0,0.0,,
2015-01-14,0.0,0.0,0.0,0.0,,
2015-01-15,0.0,0.0,0.0,0.0,,
2015-01-16,0.0,0.0,0.0,0.0,,
2015-01-20,0.0,0.0,0.0,0.0,,
2015-01-21,0.0,0.0,0.0,0.0,,
2015-01-22,0.0,0.0,0.0,0.0,,
2015-01-23,0.0,0.0,0.0,0.0,,
2015-01-26,0.0,0.0,0.0,0.0,,
2015-01-27,0.0,0.0,0.0,0.0,,
2015-01-28,0.0,0.0,0.0,0.0,,
2015-01-29,0.0,0.0,0.0,0.0,,
2015-01-30,0.0,0.0,0.0,0.0,,
2015-02-02,0.0,0.0,0.0,0.0,,
2015-02-03,0.0,0.0,0.0,0.0,medium,0.18779131810195426
2015-02-04,0.0,0.0,0.0,0.0,medium,0.1862471295266273
2015-02-05,0.0,0.0,0.0,0.0,medium,0.18436291271168123
2015-02-06,0.0,0.0,0.0,0.0,medium,0.18414158971141278
2015-02-09,0.0,0.0,0.0,0.0,medium,0.1719057576947057
2015-02-10,0.0,0.0,0.0,0.0,medium,0.17099134061616378
2015-02-11,0.0,0.0,0.0,0.0,medium,0.17383135539836828
2015-02-12,0.0,0.0,0.0,0.0,medium,0.1737635117797739
2015-02-13,0.0,0.0,0.0,0.0,medium,0.1755124970732198
2015-02-17,0.0,0.0,0.0,0.0,medium,0.16900521392137743
2015-02-18,0.0,0.0,0.0,0.0,medium,0.1657834919989349
2015-02-19,0.0,0.0,0.0,0.0,medium,0.1661034430909634
2015-02-20,0.0,0.0,0.0,0.0,medium,0.16610052599384006
2015-02-23,0.0,0.0,0.0,0.0,medium,0.15814177809715105
2015-02-24,0.0,0.0,0.0,0.0,medium,0.15708148916947676
2015-02-25,0.0,0.0,0.0,0.0,medium,0.15703703457910734
2015-02-26,0.0,0.0,0.0,0.0,low,0.1306892376019119
2015-02-27,0.0,0.0,0.0,0.0,low,0.11734777694665532
2015-03-02,0.0,0.0,0.0,0.0,low,0.11329977777940271
2015-03-03,0.0,0.0,0.0,0.0,low,0.10120975009234855
2015-03-04,0.0,0.0,0.0,0.0,low,0.1002092280935029
2015-03-05,0.0,0.0,0.0,0.0,low,0.09466551044954537
2015-03-06,0.0,0.0,0.0,0.0,low,0.09466804861786303
2015-03-09,0.0,0.0,0.0,0.0,low,0.10771485908689866
2015-03-10,0.0,0.0,0.0,0.0,low,0.1072630679912147
2015-03-11,0.0,0.0,0.0,0.0,low,0.12369938209606929
2015-03-12,0.0,0.0,0.0,0.0,low,0.11675259836087727
2015-03-13,0.0,0.0,0.0,0.0,low,0.12362940627113476
2015-03-16,0.0,0.0,0.0,0.0,low,0.11386723973724137
2015-03-17,0.0,0.0,0.0,0.0,low,0.12270387717323983
2015-03-18,0.0,0.0,0.0,0.0,low,0.12307521156132782
2015-03-19,0.0,0.0,0.0,0.0,low,0.126883666416694
2015-03-20,0.0,0.0,0.0,0.0,low,0.12766966058107262
2015-03-23,0.0,0.0,0.0,0.0,low,0.1279982151790834
2015-03-24,0.0,0.0,0.0,0.0,low,0.12750753228734246
