Date,gross_ret,net_ret,cost,turnover,regime,ann_vol
2015-01-02,0.0,0.0,0.0,0.0,,
2015-01-05,0.0,0.0,0.0,0.0,,
2015-01-06,-0.015919882808050217,-0.015919882808050217,0.0,2.0,,
2015-01-07,-0.009186726735513927,-0.009186726735513927,0.0,2.1079888137055782,,
2015-01-08,-0.00046181151778597904,-0.00046181151778597904,0.0,2.2680226566357473,,
2015-01-09,-0.0029277807980414338,-0.0029277807980414338,0.0,3.0499466676974434,,
2015-01-12,-0.005312321471401381,-0.005312321471401381,0.0,2.6682216202929707,,
2015-01-13,0.0053538370062454444,0.0053538370062454444,0.0,2.3079333087931704,,
2015-01-14,-0.00036834941025050763,-0.00036834941025050763,0.0,3.023011352815412,,
2015-01-15,-0.007669801133122208,-0.007669801133122208,0.0,2.6703252119992458,,
2015-01-16,0.004694894700556557,0.004694894700556557,0.0,2.507084508375793,,
2015-01-20,0.005241663543098951,0.005241663543098951,0.0,3.2165542315411004,,
2015-01-21,0.004513255638350038,0.004513255638350038,0.0,2.9759928742295134,,
2015-01-22,-0.01899253508118125,-0.01899253508118125,0.0,3.0789931120906764,,
2015-01-23,-0.002712042728148184,-0.002712042728148184,0.0,2.101633764438678,,
2015-01-26,0.0028812002705628764,0.0028812002705628764,0.0,2.250918231993878,,
2015-01-27,-0.015064164193777535,-0.015064164193777535,0.0,2.9193591737136484,,
2015-01-28,-0.00025292577801382625,-0.00025292577801382625,0.0,2.1419360793207685,,
2015-01-29,-0.01106008306907872,-0.01106008306907872,0.0,2.808767620191689,,
2015-01-30,-0.00013159702947573837,-0.00013159702947573837,0.0,2.728829913324052,,
2015-02-02,-0.0035128247226245777,-0.006006492601815235,0.0024936678791906575,3.225333358116513,,
2015-02-03,-0.00859991382416601,-0.010902470179192287,0.0023025563550262773,2.9483734717743557,medium,0.18779131810195426
2015-02-04,-0.007825896092049063,-0.009563480822586462,0.0017375847305373987,2.263007793643217,medium,0.1862471295266273
2015-02-05,-0.005929566893583699,-0.008269810597391335,0.0023402437038076364,3.0848916927810617,medium,0.18436291271168123
2015-02-06,0.004878241635394541,0.002701817107828758,0.002176424527565783,2.941682714464949,medium,0.18414158971141278
2015-02-09,0.0020842273209498155,-0.0002937760189631851,0.0023780033399130006,3.2574748246373346,medium,0.1719057576947057
2015-02-10,0.005388803593670383,0.002954801883899503,0.00243400170977088,3.284784524575642,medium,0.17099134061616378
2015-02-11,-0.0029906992758600547,-0.005411770163483816,0.002421070887623761,3.301373521885545,medium,0.17383135539836828
2015-02-12,0.014488661734415278,0.012381561945761078,0.0021070997886542004,2.8449813783198157,medium,0.1737635117797739
2015-02-13,-0.0035544368296207022,-0.0059871411004163285,0.0024327042707956263,3.174718261488337,medium,0.1755124970732198
2015-02-17,0.0009168818122925184,-0.0010879225260072428,0.0020048043382997613,2.56160983730343,medium,0.16900521392137743
2015-02-18,0.0054472311981375145,0.0032861228956280017,0.002161108302509513,2.836185876147419,medium,0.1657834919989349
2015-02-19,-0.006131197184103594,-0.008520179392637425,0.002388982208533831,3.186836790449049,medium,0.1661034430909634
2015-02-20,-0.007353204969014453,-0.009581207369361456,0.0022280024003470027,3.0094803713635567,medium,0.16610052599384006
2015-02-23,0.001316414345074155,-0.0004016024694867091,0.001718016814560864,2.3728557057518334,medium,0.15814177809715105
2015-02-24,0.0007582422477630289,-0.001408137304571319,0.002166379552334348,2.8957139805821446,medium,0.15708148916947676
