Date,gross_ret,net_ret,cost,turnover
2015-01-02,0.0,0.0,0.0,0.0
2015-01-05,0.0,0.0,0.0,0.0
2015-01-06,-0.015919994644868842,-0.015919994644868842,0.0,1.9999999999999996
2015-01-07,-0.009186728004367092,-0.009186728004367092,0.0,2.1079920166424975
2015-01-08,-0.0004618665520182216,-0.0004618665520182216,0.0,2.2680313452920338
2015-01-09,-0.0029278240384999045,-0.0029278240384999045,0.0,3.049942254857625
2015-01-12,-0.0053122911174317755,-0.0053122911174317755,0.0,2.6682038934851917
2015-01-13,0.005353670641963895,0.005353670641963895,0.0,2.307942104637016
2015-01-14,-0.0003685202309973385,-0.0003685202309973385,0.0,3.023008724078352
2015-01-15,-0.007669789191369155,-0.007669789191369155,0.0,2.670297232042471
2015-01-16,0.004694949205885153,0.004694949205885153,0.0,2.507091064711872
2015-01-20,0.00524150177621691,0.00524150177621691,0.0,3.2165674203003607
2015-01-21,0.0045132314854263505,0.0045132314854263505,0.0,2.9759767316259205
2015-01-22,-0.01899219588269027,-0.01899219588269027,0.0,3.078980627300831
2015-01-23,-0.0027118890588854684,-0.0027118890588854684,0.0,2.1016646580854474
2015-01-26,0.00288126271229471,0.00288126271229471,0.0,2.2509473495470402
2015-01-27,-0.015063818484202268,-0.015063818484202268,0.0,2.91937411955426
2015-01-28,-0.0002529591616264109,-0.0002529591616264109,0.0,2.141951615127905
2015-01-29,-0.011060337098839003,-0.011060337098839003,0.0,2.8087374290520835
2015-01-30,-0.0001317581694541591,-0.0001317581694541591,0.0,2.72882754760566
2015-02-02,-0.0035127612587854446,-0.006006421914091951,0.002493660655306507,3.2253235305293564
2015-02-03,-0.008599808359424567,-0.010902368327953282,0.002302559968528714,2.9483803931830734
2015-02-04,-0.007826077662182605,-0.009563654785278292,0.0017375771230956861,2.2629987063727643
2015-02-05,-0.005929557347689597,-0.008269800480303846,0.0023402431326142495,3.0848943451454103
2015-02-06,0.004878438357454149,0.0027020159221782594,0.00217642243527589,2.9416812361821916
2015-02-09,0.0020841661391615145,-0.0002938382836119827,0.002378004422773497,3.257477974069899
2015-02-10,0.005388857330741381,0.0029548576411575762,0.0024339996895838046,3.284783614385384
2015-02-11,-0.0029904590613908898,-0.005411528940186013,0.0024210698787951236,3.3013703259281826
2015-02-12,0.014489128712080976,0.012382009196708253,0.002107119515372722,2.8450026689732586
2015-02-13,-0.003554285398590794,-0.005986996201741886,0.002432710803151092,3.174724932199972
2015-02-17,0.0009169995405012162,-0.0010878164781244174,0.0020048160186256336,2.5616248250830864
2015-02-18,0.005447522675768247,0.0032864056610531346,0.002161117014715112,2.8361959917888178
2015-02-19,-0.006131454844762902,-0.008520464228161845,0.002389009383398943,3.1868680532079963
2015-02-20,-0.007353184101863149,-0.009581168646592312,0.0022279845447291642,3.0094559717265934
2015-02-23,0.0013166324510888625,-0.0004013763347812452,0.0017180087858701077,2.3728446061052226
2015-02-24,0.0007579809808293353,-0.001408388740041421,0.0021663697208707563,2.8957008678407217
2015-02-25,0.0013508355400285324,-0.0008100012504740288,0.002160836790502561,2.9913080517796184
2015-02-26,-0.013355074058800083,-0.015576402007436815,0.0022213279486367316,2.9869603831155964
2015-02-27,0.0023169873400935817,0.00023405776810028886,0.002082929571993293,2.7185379669544067
2015-03-02,0.0015194812310451965,-0.0006985363540067189,0.0022180175850519154,2.987039860040232
2015-03-03,0.003629759060897705,0.0014912471672225663,0.0021385118936751387,3.1068792967559236
